"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"49",1,28,"spillover1","fp",74,"spillover1 fp",8,0,610,610,"Unambiguous","Inconsistent",610
"51",1,46,"spillover1","fp",74,"spillover1 fp",6,0,269,269,"Unambiguous","Consistent",269
"53",1,40,"spillover1","fp",74,"spillover1 fp",8,0,612,612,"Unambiguous","Inconsistent",612
"55",1,25,"spillover1","fp",74,"spillover1 fp",5,0,1106,1106,"Ambiguous","Consistent",1106
"57",1,42,"spillover1","fp",74,"spillover1 fp",6,0,500,500,"Unambiguous","Consistent",500
"59",1,37,"spillover1","fp",74,"spillover1 fp",5,0,667,667,"Ambiguous","Consistent",667
"61",1,26,"spillover1","fp",74,"spillover1 fp",6,0,382,382,"Unambiguous","Consistent",382
"63",1,30,"spillover1","fp",74,"spillover1 fp",6,0,651,651,"Unambiguous","Consistent",651
"65",1,32,"spillover1","fp",74,"spillover1 fp",8,0,581,581,"Unambiguous","Inconsistent",581
"67",1,31,"spillover1","fp",74,"spillover1 fp",7,0,558,558,"Ambiguous","Inconsistent",558
"69",1,47,"spillover1","fp",74,"spillover1 fp",7,0,271,271,"Ambiguous","Inconsistent",271
"71",1,44,"spillover1","fp",74,"spillover1 fp",8,0,550,550,"Unambiguous","Inconsistent",550
"73",1,27,"spillover1","fp",74,"spillover1 fp",7,0,931,931,"Ambiguous","Inconsistent",931
"75",1,33,"spillover1","fp",74,"spillover1 fp",5,0,651,651,"Ambiguous","Consistent",651
"77",1,45,"spillover1","fp",74,"spillover1 fp",5,0,883,883,"Ambiguous","Consistent",883
"79",1,34,"spillover1","fp",74,"spillover1 fp",6,0,390,390,"Unambiguous","Consistent",390
"81",1,35,"spillover1","fp",74,"spillover1 fp",7,0,269,269,"Ambiguous","Inconsistent",269
"83",1,29,"spillover1","fp",74,"spillover1 fp",5,0,802,802,"Ambiguous","Consistent",802
"85",1,41,"spillover1","fp",74,"spillover1 fp",5,0,962,962,"Ambiguous","Consistent",962
"87",1,38,"spillover1","fp",74,"spillover1 fp",6,0,377,377,"Unambiguous","Consistent",377
"89",1,43,"spillover1","fp",74,"spillover1 fp",7,0,824,824,"Ambiguous","Inconsistent",824
"91",1,39,"spillover1","fp",74,"spillover1 fp",7,0,982,982,"Ambiguous","Inconsistent",982
"93",1,48,"spillover1","fp",74,"spillover1 fp",8,0,732,732,"Unambiguous","Inconsistent",732
"95",1,36,"spillover1","fp",74,"spillover1 fp",8,0,298,298,"Unambiguous","Inconsistent",298
"769",2,32,"spillover1","fp",71,"spillover1 fp",5,0,1577,1577,"Ambiguous","Consistent",1577
"771",2,48,"spillover1","fp",71,"spillover1 fp",5,0,1990,1990,"Ambiguous","Consistent",1990
"773",2,40,"spillover1","fp",71,"spillover1 fp",5,1,0,NA,"Ambiguous","Consistent",NA
"775",2,28,"spillover1","fp",71,"spillover1 fp",5,0,221,221,"Ambiguous","Consistent",221
"777",2,38,"spillover1","fp",71,"spillover1 fp",7,0,1883,1883,"Ambiguous","Inconsistent",1883
"779",2,42,"spillover1","fp",71,"spillover1 fp",7,0,595,595,"Ambiguous","Inconsistent",595
"781",2,37,"spillover1","fp",71,"spillover1 fp",6,0,733,733,"Unambiguous","Consistent",733
